Season,Team,DRtg,ORtg,Net Rtg,W,Playoff ORtg,Playoff DRtg,Playoff Net Rtg,ORtg Difference,DRtg Difference,Net Rtg Difference
2013-14,BRK,107.7,106.7,-1,5,110.5,112,-1.5,3.8,4.3,-0.5
2017-18,GSW,107.6,113.6,6,16,113.9,103.6,10.3,0.3,-4,4.3
2020-21,PHI,107.6,113.2,5.6,7,116,108.5,7.5,2.8,0.9,1.9
2019-20,LAC,107.6,113.9,6.3,7,115.4,111.1,4.3,1.5,3.5,-2
2008-09,ATL,107.6,109.3,1.7,4,102,110.6,-8.6,-7.3,3,-10.3
2008-09,MIA,107.6,107.8,0.2,3,106.7,105.6,1.1,-1.1,-2,0.9
2016-17,OKC,107.5,108.3,0.8,1,105.7,114.4,-8.7,-2.6,6.9,-9.5
2004-05,WAS,107.5,107.2,-0.3,4,105.6,108.2,-2.6,-1.6,0.7,-2.3
2009-10,DEN,107.5,111.8,4.3,2,113.9,115.1,-1.2,2.1,7.6,-5.5
2014-15,BRK,107.4,104.4,-3,2,100.8,106.5,-5.7,-3.6,-0.9,-2.7
2003-04,DAL,107.4,112.1,4.7,1,103.4,102,1.4,-8.7,-5.4,-3.3
2005-06,MIL,107.4,106.3,-1.1,1,110.2,121.1,-10.9,3.9,13.7,-9.8
2006-07,GSW,107.4,107,-0.4,5,110.9,109.1,1.8,3.9,1.7,2.2
2013-14,POR,107.4,111.5,4.1,5,107.2,113.6,-6.4,-4.3,6.2,-10.5
2005-06,WAS,107.3,109.3,2,2,109.4,109.2,0.2,0.1,1.9,-1.8
2014-15,NOP,107.3,108.2,0.9,0,106.8,115.2,-8.4,-1.4,7.9,-9.3
2021-22,PHO,107.3,114.8,7.5,7,115.6,116.7,-1.1,0.8,9.4,-8.6
2010-11,DEN,107.3,112.3,5,1,103.4,108.5,-5.1,-8.9,1.2,-10.1
2008-09,UTA,107.3,110.1,2.8,1,104.2,114.1,-9.9,-5.9,6.8,-12.7
2010-11,OKC,107.2,111.2,4,9,109.5,107.5,2,-1.7,0.3,-2
2017-18,OKC,107.2,110.7,3.5,2,103.5,107.9,-4.4,-7.2,0.7,-7.9
2016-17,MEM,107.1,107.7,0.6,2,110.3,119.8,-9.5,2.6,12.7,-10.1
2004-05,PHO,107.1,114.5,7.4,9,118.2,113.8,4.4,3.7,6.7,-3
2009-10,POR,107.1,110.8,3.7,2,106.5,118.3,-11.8,-4.3,11.2,-15.5
2020-21,LAL,107.1,109.9,2.8,2,104,110.9,-6.9,-5.9,3.8,-9.7
2010-11,POR,107.1,108.8,1.7,2,106.3,112.5,-6.2,-2.5,5.4,-7.9
2018-19,TOR,107.1,113.1,6,16,110,104.4,5.6,-3.1,-2.7,-0.4
2018-19,OKC,107,110.3,3.3,1,105.4,111.2,-5.8,-4.9,4.2,-9.1
2015-16,DAL,107,106.7,-0.3,1,102.1,122,-19.9,-4.6,15,-19.6
2019-20,BOS,107,113.3,6.3,10,111.3,106.3,5,-2,-0.7,-1.3
2010-11,ATL,107,106.1,-0.9,6,100.4,105.5,-5.1,-5.7,-1.5,-4.2
2007-08,TOR,107,110.2,3.2,1,110.1,115.2,-5.1,-0.1,8.2,-8.3
2006-07,UTA,107,110.1,3.1,9,106.9,105.9,1,-3.2,-1.1,-2.1
2008-09,NOH,107,108.7,1.7,1,93.7,120.7,-27,-15,13.7,-28.7
2016-17,CHI,107,107.4,0.4,2,104.8,112.2,-7.4,-2.6,5.2,-7.8
2021-22,BOS,106.9,114.4,7.5,14,110.7,107,3.7,-3.7,0.1,-3.8
2021-22,GSW,106.9,112.5,5.6,16,115.2,110,5.2,2.7,3.1,-0.4
2008-09,DEN,106.8,110.4,3.6,10,116.8,107.5,9.3,6.4,0.7,5.7
2009-10,ATL,106.7,111.9,5.2,4,104.3,112.2,-7.9,-7.6,5.5,-13.1
2012-13,LAL,106.6,107.8,1.2,0,92.5,112.9,-20.4,-15.3,6.3,-21.6
2006-07,NJN,106.6,105.7,-0.9,6,101.7,99.6,2.1,-4,-7,3
2004-05,BOS,106.6,107.5,0.9,3,100.6,101.3,-0.7,-6.9,-5.3,-1.6
2018-19,IND,106.5,109.9,3.4,0,96.3,104.2,-7.9,-13.6,-2.3,-11.3
2007-08,UTA,106.5,113.8,7.3,6,110.1,110.4,-0.3,-3.7,3.9,-7.6
2014-15,DAL,106.4,109.5,3.1,1,107.9,112,-4.1,-1.6,5.6,-7.2
2013-14,ATL,106.4,105.9,-0.5,3,101.9,103,-1.1,-4,-3.4,-0.6
2017-18,POR,106.4,109.1,2.7,0,106.9,116,-9.1,-2.2,9.6,-11.8
2006-07,PHO,106.4,113.9,7.5,6,110.6,105.3,5.3,-3.3,-1.1,-2.2
2007-08,CLE,106.4,106,-0.4,7,104.6,102.1,2.5,-1.4,-4.3,2.9
2012-13,NYK,106.3,111.1,4.8,6,101.4,98.3,3.1,-9.7,-8,-1.7
2019-20,LAL,106.3,112,5.7,16,115.9,108.9,7,3.9,2.6,1.3
2017-18,MIA,106.3,106.8,0.5,1,103,113.7,-10.7,-3.8,7.4,-11.2
2014-15,CLE,106.3,111.1,4.8,14,107.4,103.1,4.3,-3.7,-3.2,-0.5
2007-08,DEN,106.3,110,3.7,0,104.3,117.9,-13.6,-5.7,11.6,-17.3
2009-10,DAL,106.3,109.2,2.9,2,105.1,105.6,-0.5,-4.1,-0.7,-3.4
2013-14,HOU,106.3,111,4.7,2,114.8,114.4,0.4,3.8,8.1,-4.3
2012-13,BRK,106.2,108.2,2,3,107.8,105.6,2.2,-0.4,-0.6,0.2
2011-12,DEN,106.2,109.2,3,3,107.1,106.6,0.5,-2.1,0.4,-2.5
2011-12,UTA,106.1,106.8,0.7,0,93.9,111.3,-17.4,-12.9,5.2,-18.1
2012-13,HOU,106.1,109.7,3.6,2,105.3,111.4,-6.1,-4.4,5.3,-9.7
2007-08,DAL,106.1,111.1,5,1,108,118.2,-10.2,-3.1,12.1,-15.2
2017-18,HOU,106.1,114.7,8.6,11,109.6,107.7,1.9,-5.1,1.6,-6.7
2007-08,PHI,106,106.4,0.4,2,99.8,107.9,-8.1,-6.6,1.9,-8.5
2006-07,TOR,106,107,1,2,101,106.9,-5.9,-6,0.9,-6.9
2010-11,IND,106,104.8,-1.2,1,100.2,108.5,-8.3,-4.6,2.5,-7.1
2006-07,DEN,105.9,107.6,1.7,1,100.7,107.5,-6.8,-6.9,1.6,-8.5
2017-18,TOR,105.9,113.8,7.9,4,112,116.6,-4.6,-1.8,10.7,-12.5
2005-06,PHO,105.8,111.5,5.7,10,113.7,112.5,1.2,2.2,6.7,-4.5
2013-14,MIA,105.8,110.9,5.1,13,112.8,110.8,2,1.9,5,-3.1
